Chinese,English,Frequency Count,Indonesia
有点,A little bit,30851,Sedikit
最后,at last,30725,akhirnya
小姐,Miss,30706,Merindukan
上帝,God,30372,Tuhan
认识,know,30285,tahu
會,meeting,30165,pertemuan
正在,In,30153,Di dalam
那样,That way,29969,Dengan cara itu
父亲,Father,29719,Ayah
高兴,Happy,29700,Senang
明天,tomorrow,29587,besok
重要,important,29507,penting
跑,run,29295,berlari
警察,police,29120,POLISI
只要,if only,29107,jika saja
干什么,What to do,29067,Apa yang harus dilakukan
好像,like,29033,menyukai
再见,goodbye,28825,selamat tinggal
月,moon,28795,bulan
我能,I can,28783,Saya bisa
继续,continue,28740,melanjutkan
出,out,28686,keluar
今晚,tonight,28650,malam ini
他妈的,damn it,28590,brengsek
回家,go home,28350,pulang
它们,they,28308,mereka
多少,How many,28247,Berapa banyak
电话,Telephone,28178,Telepon
听到,Hear,27995,Mendengar
干嘛,what,27736,Apa
干,Dry,27619,Kering
医生,doctor,27452,dokter
要是,if,27266,jika
女孩,girl,27105,gadis
這,this,27018,ini
所,Place,27006,Tempat
讓,let,26978,membiarkan
马上,immediately,26720,langsung
过去,past,26646,masa lalu
以前,before,26399,sebelum
儿子,son,26024,putra
哪儿,where,25634,Di mana
说话,say,25586,mengatakan
买,purchase,25518,pembelian
看起来,Look,25511,Lihat
一個,one,25462,satu
完全,completely,25423,sama sekali
该死,Damn,25331,Berengsek
美国,U.S.,25172,KITA.
怎样,how,25165,Bagaimana
回去,go back,25126,kembali
以,by,24974,oleh
却,but,24940,Tetapi
其他,other,24825,lainnya
永远,forever,24688,selamanya
家伙,Guy,24679,Pria
之后,after,24566,setelah
怎麼,how,24413,Bagaimana
看见,see,24365,melihat
或者,or,24021,atau
小心,careful,23400,hati-hati
行,OK,23301,OKE
别人,other people,23278,orang lain
成为,become,23248,menjadi
写,Write,23064,Menulis
不到,Not,22964,Bukan
情况,Condition,22913,Kondisi
送,deliver,22802,mengantarkan
伙计,Gang,22702,Gang
一天,one day,22615,Satu hari
玩,Play,22502,Bermain
见到,See,22417,Melihat
放,put,22359,meletakkan
晚上,night,22343,malam
喝,drink,22343,minum
总是,always,22325,selalu
好好,well,22178,Sehat
琌,Bleak,22168,Suram
号,Number,22150,Nomor
如此,in this way,22150,dengan cara ini
家,Home,22081,Rumah
坐,sit,22044,duduk
了解,learn,21944,mempelajari
有没有,Do you have,21883,Apakah kamu punya
兄弟,brother,21871,saudara laki-laki
没什么,nothing,21850,Tidak ada apa-apa
我来,I come,21764,aku datang
结束,Finish,21743,Menyelesaikan
机会,Chance,21719,Peluang
已,already,21707,sudah
安全,Safety,21662,Keamanan
拜托,Ask,21530,Bertanya
决定,Decide,21480,Memutuskan
穿,wear,21460,memakai
确定,Sure,21435,Tentu
里面,in,21222,di dalam
呃,Well,21202,Dengan baik
怎么办,what to do,21189,apa yang harus dilakukan
还好,fine,21062,Bagus
无法,Unable to,21037,Tidak bisa
小时,Hour,21036,Jam
站,stand,21015,berdiri
清楚,clear,21001,jernih
有些,some,20997,beberapa
错,wrong,20914,salah
這個,this,20849,ini
帮助,help,20849,membantu
长官,Chief,20785,Ketua
公司,company,20745,perusahaan
打电话,Call up,20621,Menelepon
房子,house,20426,rumah
根本,fundamental,20419,mendasar
懂,Understand,20399,Memahami
办法,Method,20396,Metode
不管,in spite of,20313,meskipun
混蛋,asshole,20306,bajingan
关于,about,20217,tentang
搞,Do,20122,Melakukan
计划,plan,19959,rencana
唯一,only,19772,hanya
来说,For,19688,Untuk
女儿,daughter,19614,anak perempuan
看着,Look at,19249,Lihatlah
宝贝,baby,19208,Sayang
每个,Each,19176,Setiap
怎么回事,what happened,19113,Apa yang terjadi
個,indivual,19106,individu
其实,actually,19073,Sebenarnya
漂亮,pretty,19069,cantik
黑体,Black body,19019,Tubuh hitam
這樣,so,18925,Jadi
车,car,18851,mobil
人们,people,18560,rakyat
真正,real,18550,nyata
甚至,even,18542,bahkan
那边,there,18527,di sana
弄,alley,18497,gang
开,open,18483,membuka
不好,not good,18386,tidak baik
喔,oh,18228,Oh
回,Return,18149,Kembali
进来,Come in,18144,Datang
裏,inside,17945,di dalam
夫人,lady,17915,wanita
之,Of,17902,Dari
ぃ,Bleak,17778,Suram
愿意,willing,17725,bersedia
麻烦,trouble,17699,masalah
睡,sleep,17644,tidur
哇,Wow,17641,Wow
就要,To,17547,Ke
打算,Intend,17525,Bermaksud
完,over,17502,lebih
故事,story,17449,cerita
一种,A sort of,17433,Semacam
害怕,Fear,17332,Takut
救,save,17299,menyimpan
手,hand,17286,tangan
房间,Room,17234,Ruang
由,Depend on,17218,Bergantung pada
後,back,17192,kembali
那儿,there,17180,di sana
衣服,clothing,17176,pakaian
枪,gun,17168,pistol
母亲,Mother,17158,Ibu
另,Other,17067,Lainnya
下来,Come down,17025,Datang
听说,It is said that,17007,Dikatakan bahwa
不了,Be unable to,16969,Tidak bisa
注意,Notice,16962,Melihat
改变,Change,16916,Mengubah
这次,this time,16841,kali ini
這是,This is,16838,Ini
没关系,It doesn't matter,16619,Tidak masalah
接受,accept,16528,menerima
妻子,wife,16483,istri
老,old,16348,tua
失去,lose,16298,kehilangan
回到,Return,16270,Kembali
們,People,16244,Rakyat
以后,after,16207,setelah
话,talk,16044,bicara
是否,whether,16033,apakah
疯,Crazy,15996,Gila
生命,life,15984,kehidupan
她们,they,15939,mereka
忙,busy,15931,sibuk
进去,Go in,15918,Masuk
抓,Grasp,15901,Mencengkeram
女士,Miss,15858,Merindukan
原因,reason,15775,alasan
刚才,Just now,15711,Baru saja
保护,Protect,15705,Melindungi
是因为,Because of,15697,Karena
选择,choose,15677,memilih
妳,you,15676,Anda
几个,several,15669,beberapa
笑,laugh,15664,tertawa
关系,relation,15628,hubungan
从来,Never,15598,Tidak pernah
他会,He can,15547,Dia bisa
当时,then,15505,Kemudian
出现,Appear,15480,Muncul
结婚,marry,15436,kawin
些,some,15416,beberapa
至少,At least,15397,Setidaknya
还要,Still,15387,Tetap
挺,quite,15305,lumayan
成功,success,15300,kesuksesan
奇怪,strangeness,15274,keanehan
虽然,Although,15248,Meskipun
忘,forget,15239,lupa
太好了,Very good,15230,Sangat bagus
身上,On the body,15206,Di badan
或许,perhaps,15103,mungkin
讲,speak,15099,berbicara
你們,you,15091,Anda
岁,age,15080,usia
有个,is having a,14999,sedang mengalami
保证,ensure,14953,memastikan
外面,Outside,14930,Di luar
丈夫,husband,14911,suami
连,even,14881,bahkan
国家,nation,14868,bangsa
整个,entire,14843,seluruh
特别,special,14713,spesial
那种,That kind,14703,Jenis itu
不同,different,14680,berbeda
著,Be,14630,Menjadi
很快,soon,14613,segera
变成,become,14586,menjadi
够,enough,14513,cukup
难道,Be,14486,Menjadi
学校,School,14485,Sekolah
一件,One piece,14427,Satu potong
样子,Look,14382,Lihat
倒,fall,14318,jatuh
电影,Movie,14316,Film
谈谈,Talk,14278,Bicara
危险,Danger,14214,Bahaya
开心,happy,14205,senang
别的,Other,14203,Lainnya
这件,this,14195,ini
才能,Talent,14189,Bakat
闭嘴,Shut up,14116,Diam
正,just,14078,hanya
进行,conduct,14067,mengadakan
照片,photo,14032,foto
話,talk,14026,bicara
刚刚,just,14014,hanya
而已,Just,13981,Hanya
完成,Finish,13961,Menyelesaikan
誰,who,13910,WHO
ﺎ,Bleak,13900,Suram
方式,Way,13892,Jalan
做到,Achieve,13867,Meraih
爸,dad,13851,ayah
因為,because,13779,Karena
声音,sound,13764,suara
第一次,first,13761,Pertama
看来,Seem,13757,Tampaknya
只能,Only,13753,Hanya
現在,Now,13748,Sekarang
太太,Mrs,13739,Nyonya
下去,Go on,13701,Berlangsung
绝对,absolute,13694,mutlak
处理,deal with,13648,menghadapi
欢迎,welcome,13646,selamat datang
眼睛,Eye,13633,Mata
通过,pass,13622,lulus
行动,action,13616,tindakan
啥,What,13610,Apa
感到,feel,13585,merasa
最近,recent,13574,terkini
聽,listen,13572,mendengarkan
各位,Everyone,13373,Setiap orang
这边,Here,13334,Di Sini
待,treat,13330,merawat
掉,Lose,13302,Kehilangan
不好意思,Excuse me,13277,Permisi
猜,Guess,13205,Tebakan
使,make,13198,membuat
作为,Be,13166,Menjadi
于,At,13164,Pada
狗,dog,13101,anjing
容易,easy,13098,mudah
沒有,No,13084,TIDAK
直到,until,13072,sampai
求,beg,13007,mengemis
比赛,Contest,12978,Kontes
像是,Like,12929,Menyukai
麽,What's wrong?,12918,Ada apa?
從,from,12889,dari
拉,pull,12869,menarik
拍,shoot,12859,menembak
更好,better,12856,lebih baik
曾,ever,12776,pernah
有趣,interesting,12732,menarik
就算,Even,12729,Bahkan
活着,Alive,12644,Hidup
不會,Won't,12635,Tidak akan
ﻟ,Bleak,12608,Suram
努力,effort,12604,upaya
帮忙,help,12603,membantu
留下,Leave,12597,Meninggalkan
同意,agree,12596,setuju
参加,join,12581,bergabung
赢,win,12509,menang
死亡,die,12478,mati
每,Every,12476,Setiap
上面,above,12451,di atas
结果,result,12437,hasil
消息,information,12436,informasi
要求,Require,12421,Memerlukan
理解,understand,12391,memahami
曾经,once,12376,sekali
打开,Open,12358,Membuka
收到,receive,12303,menerima
照顾,take care of,12302,mengurus
人类,Humanity,12254,Kemanusiaan
主意,idea,12249,ide
保持,Keep,12228,Menyimpan
成,become,12219,menjadi
杰克,Jack,12213,Mendongkrak
存在,exist,12210,ada
进,Enter,12148,Memasuki
高,high,12148,tinggi
晚安,Good night,12142,Selamat malam
确实,really,12130,Sungguh
全部,all,12111,semua
靠,Depend on,12096,Bergantung pada
呆,stay,12073,tinggal
起,rise,12073,bangkit
謝謝,Thanks,12037,Terima kasih
讨厌,Hate,12017,Membenci
俩,both,12012,keduanya
硂,Bleak,11983,Suram
突然,Sudden,11978,Tiba-tiba
多久,how long,11922,Berapa lama
老婆,Wife,11908,Istri
不再,no longer,11907,tidak lagi
任何人,anyone,11846,siapa pun
开玩笑,joke,11833,candaan
放在,Put in,11830,Masukkan ke dalam
τ,bleak,11827,suram
那個,that,11822,itu
进入,Enter,11815,Memasuki
父母,parents,11806,orang tua
总统,president,11765,presiden
伤害,harm,11740,menyakiti
時候,when,11718,Kapan
回答,answer,11714,menjawab
一位,One,11706,Satu
三个,Three,11701,Tiga
所有人,Owner,11686,Pemilik
老师,teacher,11647,guru
早,morning,11630,Pagi
除了,Apart from,11587,Selain dari
派,group,11563,kelompok
咱们,we,11553,Kami
自由,free,11535,bebas
可爱,cute,11532,imut-imut
日,day,11520,hari
抓住,catch,11512,menangkap
路,road,11493,jalan
谈,talk,11480,bicara
简单,Simple,11450,Sederhana
身体,Body,11444,Tubuh
想法,idea,11444,ide
早上,Morning,11430,Pagi
這麼,so,11418,Jadi
ﺍ,Bleak,11411,Suram
能够,were able,11408,mampu
昨晚,last night,11376,tadi malam
哥哥,elder brother,11336,kakak
我爱你,I love you,11324,Aku mencintaimu
跳,Jump,11318,Melompat
秘密,secret,11306,rahasia
休息,rest,11286,istirahat
战争,war,11237,perang
其中,in,11221,di dalam
内,Inside,11198,Di dalam
医院,Hospital,11180,RSUD
每天,every day,11167,setiap hari
之间,between,11133,di antara
大概,perhaps,11112,mungkin
控制,control,11096,kontrol
刚,Just,11064,Hanya
小孩,Child,11047,Anak
带来,bring,11037,membawa
停止,stop,11019,berhenti
因此,therefore,10993,Karena itu
花,flower,10968,bunga
证明,prove,10965,membuktikan
约翰,John,10953,Yohanes
飞机,airplane,10927,pesawat terbang
替,for,10892,untuk
解释,explain,10884,menjelaskan
律师,lawyer,10850,pengacara
终于,finally,10832,Akhirnya
耶,yeah,10824,Ya
翻译,translate,10800,menerjemahkan
调查,investigation,10798,penyelidikan
告訴,Tell,10795,Memberi tahu
为何,Why,10790,Mengapa
留在,Stay,10790,Tinggal
糟糕,Oops,10789,Waduh
任务,Task,10784,Tugas
武器,arms,10777,lengan
家里,Family,10736,Keluarga
头,head,10733,kepala
来自,From,10728,Dari
后面,later,10717,Nanti
小子,Little boy,10711,Anak laki-laki kecil
来到,come,10687,datang
解决,solve,10671,menyelesaikan
其他人,other people,10656,orang lain
家人,family,10610,keluarga
坐下,sit down,10592,duduk
怕,Afraid,10436,Takut
直接,direct,10401,langsung
办公室,office,10400,kantor
停,stop,10385,berhenti
放弃,give up,10365,menyerah
鬼,ghost,10351,hantu
別,Don't,10349,Jangan
加油,come on,10326,Ayo
方法,method,10285,metode
游戏,game,10271,permainan
即使,even though,10244,meskipun
本,Book,10179,Buku
年轻,young,10155,muda
大人,grown ups,10154,orang dewasa
使用,use,10152,menggunakan
卖,Sell,10139,Menjual
老板,boss,10128,bos
水,water,10119,air
想想,Think about,10110,Pikirkan tentang
坐在,Sit in,10103,Duduk di
目标,Target,10086,Target
变得,Become,10053,Menjadi
可怕,horrible,10049,mengerikan
拿到,Get,10038,Mendapatkan
考虑,consider,9989,mempertimbangkan
个人,personal,9988,pribadi
开枪,shot,9983,tembakan
哭,cry,9962,menangis
睡觉,sleep,9920,tidur
請,please,9917,Tolong
分钟,minute,9914,menit
想到,think,9901,memikirkan
等待,wait,9865,Tunggu
音乐,music,9858,musik
再说,To say,9855,Untuk mengatakan
聪明,clever,9807,cerdik
姑娘,girl,9782,gadis
地球,Earth,9779,Bumi
感谢,grateful,9755,bersyukur
命令,Order,9746,Memesan
阻止,Prevent,9718,Mencegah
一只,One,9712,Satu
消失,disappear,9695,menghilang
喜歡,like,9675,menyukai
心,Heart,9662,Jantung
第,First,9658,Pertama
冷静,calm,9657,tenang
似乎,seem,9654,tampaknya
联系,connect,9637,menghubungkan
家庭,family,9624,keluarga
痛苦,pain,9617,nyeri
城市,City,9606,Kota
力量,strength,9584,kekuatan
对于,for,9573,untuk
未来,future,9572,masa depan
男孩,boy,9571,anak laki-laki
三,three,9565,tiga
博士,PhD,9538,Gelar Doktor
姐姐,elder sister,9531,kakak perempuan
疯狂,crazy,9504,gila
报告,Report,9496,Laporan
放下,lay down,9468,meletakkan
昨天,yesterday,9454,Kemarin
那天,That day,9418,Hari itu
還有,besides,9400,di samping itu
完美,Perfect,9385,Sempurna
答应,promise,9366,janji
证据,evidence,9337,bukti
本来,originally,9324,semula
负责,Responsible,9319,Bertanggung jawab
检查,examine,9309,meneliti
見,See,9291,Melihat
已經,already,9284,sudah
一条,One,9277,Satu
厉害,sharp,9218,tajam
拥有,have,9212,memiliki
正常,normal,9210,normal
并且,and,9209,Dan
否则,otherwise,9190,jika tidak
該,Should,9175,Sebaiknya
以及,as well as,9152,maupun
重新,again,9151,lagi
忘记,forget,9136,lupa
这位,this,9110,ini
研究,Research,9106,Riset
附近,nearby,9088,di dekat sini
不然,otherwise,9080,jika tidak
太棒了,marvelous,9076,menakjubkan
很棒,great,9070,Besar
方正,Square,9061,Persegi
字幕,subtitle,9035,subjudul
脸,Face,9028,Menghadapi
者,By,9006,Oleh
加入,join in,9001,bergabung
於,At,8951,Pada
唱,Sing,8934,Menyanyi
反正,Anyway,8927,Bagaimanapun
不该,Not,8927,Bukan
政府,government,8908,pemerintah
快乐,hapiness,8904,kebahagiaan
身边,Beside,8875,Di samping
遇到,meet,8873,bertemu
這裡,here,8854,Di Sini
伟大,great,8835,Besar
咖啡,coffee,8831,kopi
接,catch,8760,menangkap
仍然,still,8755,tetap
门,Door,8754,Pintu
开车,drive,8746,menyetir
代表,represent,8730,mewakili
陪,accompany,8720,menemani
若,like,8704,menyukai
尸体,Corpse,8674,Mayat
比较,Compare,8668,Membandingkan
一年,One year,8636,Setahun
紧张,nervous,8619,grogi
监狱,prison,8605,penjara
位置,Location,8592,Lokasi
随便,casual,8571,kasual
偷,steal,8570,mencuri
安排,arrange,8561,mengatur
錢,money,8553,uang
表演,Performance,8547,Pertunjukan
从没,Never,8544,Tidak pernah
除非,unless,8535,kecuali
屁股,butt,8502,pantat
這些,These,8493,Ini
酒,liquor,8482,minuman keras
恩,kindness,8482,kebaikan
老兄,Man,8473,Pria
支持,support,8471,mendukung
必要,necessary,8467,diperlukan
人生,Life,8458,Kehidupan
正确,correct,8454,benar
跟着,Follow,8433,Mengikuti
杀死,Kill,8431,Membunuh
交给,Give to,8419,Berikan kepada
叔叔,uncle,8418,paman
還是,still,8415,tetap
食物,food,8401,makanan
事实,fact,8394,fakta
简直,simply,8389,hanya
安静,Quiet,8375,Diam
离,Leave,8371,Meninggalkan
一场,One game,8369,Satu permainan
妹妹,younger sister,8319,adik
斯,San,8299,San
美丽,beauty,8297,kecantikan
再次,again,8287,lagi
案子,case,8278,kasus
下面,under,8278,di bawah
不够,not enough,8207,tidak cukup
哈,ha,8196,Ha
可怜,Pitiful,8177,Menyedihkan
教,teach,8174,mengajar
殺,kill,8114,membunuh
首先,first,8076,Pertama
另外,in addition,8069,Selain itu
提供,supply,8065,memasok
记住,remember,8060,Ingat
听见,hear,8048,mendengar
信,letter,8045,surat
国王,king,8039,raja
面前,before,8026,sebelum
几乎,almost,7999,hampir
日子,day,7988,hari
那麼,So,7979,Jadi
舒服,Comfortable,7967,Nyaman
原来,turn out to be,7963,ternyata
再也,Voyage,7959,Perjalanan
操,Hold,7948,Memegang
纽约,New York,7946,Kota New York
早就,Long time,7937,Waktu yang lama
逼,force,7933,memaksa
有关,related,7907,terkait
放开,open,7893,membuka
信息,information,7890,informasi
星期,Week,7842,Pekan
不得不,have to,7824,harus
发誓,swear,7803,bersumpah
钥匙,key,7796,kunci
错误,mistake,7791,kesalahan
放松,Relax,7786,Santai
约会,Dating,7785,Penanggalan
船,Boat,7779,Kapal
打扰,disturb,7777,mengganggu
女,female,7776,perempuan
手机,cell phone,7764,ponsel
二,two,7751,dua
很大,Great,7721,Besar
到处,everywhere,7708,di mana pun
攻击,attack,7707,menyerang
一份,One,7705,Satu
第一,First,7696,Pertama
建议,suggestion,7695,saran
日本,Japan,7683,Jepang
理由,reason,7676,alasan
事实上,In fact,7675,nyatanya
一樣,Same,7663,Sama
阿,San,7657,San
跳舞,Dance,7654,Menari
生气,angry,7653,marah
久,Long,7642,Panjang
试试,Try,7640,Mencoba
信任,trust,7615,memercayai
此,this,7594,ini
看过,Seen,7593,Terlihat
差不多,almost,7577,hampir
原谅,forgive,7570,memaafkan
神,god,7564,Tuhan
经常,often,7562,sering
的确,indeed,7560,Memang
ㄓ,Bleak,7555,Suram
之一,one,7549,satu
幸福,happiness,7548,kebahagiaan
哎,Why,7542,Mengapa
便,Be,7514,Menjadi
马,horse,7513,kuda
算,Calculate,7513,Menghitung
吃饭,Have a meal,7511,Makanlah
璶,Bleak,7509,Suram
正是,Exactly,7507,Tepat
不必,No need,7506,Tidak perlu
最大,maximum,7490,maksimum
幸运,Lucky,7481,Beruntung
丢,leave,7479,meninggalkan
我家,my home,7475,rumahku
問題,question,7474,pertanyaan
长,long,7472,panjang
東西,thing,7464,benda
而是,But,7461,Tetapi
住手,stop,7455,berhenti
动物,animal,7447,hewan
弟弟,younger brother,7435,adik
道歉,Apologize,7434,Meminta maaf
严重,serious,7421,serius
人家,Family,7413,Keluarga
坚持,persist in,7412,bertahan di
想象,Imagine,7411,Membayangkan
按,according to,7396,menurut
礼物,Gift,7386,Hadiah
每次,every time,7384,setiap waktu
将军,General,7377,Umum
剩下,remain,7345,tetap
有事,Have something to do with,7343,Ada hubungannya dengan
老爸,Dad,7336,Ayah
幫,help,7324,membantu
系统,system,7318,sistem
全都,all,7314,semua
组织,organize,7310,mengatur
我會,I can,7293,Saya bisa
敌人,enemy,7292,musuh
看上去,Look,7290,Lihat
應該,should,7288,sebaiknya
老天,God,7276,Tuhan
ê,bleak,7269,suram
认真,serious,7265,serius
分,point,7245,titik
书,Book,7222,Buku
往,Past,7217,Masa lalu
关心,care,7207,peduli
坏,bad,7205,buruk
骗,cheat,7203,mencurangi
中国,China,7199,Cina
生意,Business,7187,Bisnis
上去,Go up,7173,Naik
值得,worth,7170,bernilai
搞定,Do,7170,Melakukan
寻找,Look for,7168,Mencari
派对,Party,7167,Berpesta
许多,many,7161,banyak
学生,student,7142,murid
查理,Charlie,7141,Charlie
下次,next time,7136,lain kali
通知,notify,7134,memberitahu
救命,Help,7133,Membantu
表现,Performance,7130,Pertunjukan
利用,use,7129,menggunakan
受伤,Injuried,7120,Terluka
后来,later,7115,Nanti
早上好,Good morning,7108,Selamat pagi
精神,Spirit,7103,Roh
居然,Actually,7098,Sebenarnya
受到,Suffer,7098,Menderita
大学,University,7085,Universitas
那时,At that time,7083,Pada saat itu
既然,now that,7077,sekarang itu
几天,Several days,7076,Beberapa hari
有时,sometimes,7075,Kadang-kadang
米,rice,7064,beras
总,total,7055,total
一张,One,7053,Satu
第一个,First,7048,Pertama
